ZipCode,Population,HouseholdsPerZipCode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PopulationEstimate,LandArea,WaterArea,BoxCount,SFDU,MFDU,MarketRatingAreaID,CityType_B,CityType_C,CityType_N,CityType_P,CityType_U,CityType_Z,CityDeliveryIndicator_N,CityDeliveryIndicator_Y,MedicareCBSAType_Metro,MedicareCBSAType_Micro,UBS_Open_Branch
75604,29934,11307,22131,4651,4961,541,53,346,3053,14602,15332,2.62,130000,47441,33.0,31.8,34.3,919,13305,124724,499561,0,0,0,0,0.0,214369,0,12340,1231,13632,32330,47.0,0.381,0,9753,1565,13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28779,16111,7020,15192,205,553,197,13,451,328,7839,8272,2.26,171200,47388,42.2,40.1,44.5,468,5898,45554,196037,0,0,0,0,0.0,0,0,6812,609,8936,15395,107.305,0.0,700,6341,42,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
97630,5096,2091,4723,33,421,72,14,190,206,2729,2367,2.22,129900,37689,46.3,45.2,47.6,139,996,9014,40464,0,0,0,0,0.0,0,0,2214,236,2814,4915,814.914,56.495,275,1740,24,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
68466,1861,816,1825,12,36,4,1,31,27,893,968,2.23,56500,40000,46.7,46.9,46.4,41,205,1042,4387,0,0,0,0,0.0,22311,0,780,31,888,1739,98.021,1.103,27,765,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
54638,1487,566,1445,21,22,13,1,17,4,767,720,2.63,136700,44444,43.2,42.6,43.8,20,103,732,3270,0,0,0,0,0.0,0,0,559,3,662,1470,55.478,0.006999999999999999,78,545,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61057,168,53,165,3,14,1,0,2,4,88,80,2.77,98800,60909,28.2,25.0,29.5,2,0,0,0,0,0,0,0,0.0,36031,0,0,0,44,0,1.695,0.0,17,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
95540,13657,5349,11824,176,2155,201,40,861,1251,6640,7017,2.5,249500,44943,38.7,36.1,41.3,304,2494,19477,86236,0,0,0,0,0.0,134623,0,5696,414,6780,14240,27.767,0.483,523,3383,127,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50247,2515,906,2429,54,81,15,4,6,27,1309,1206,2.58,123200,65066,39.1,37.4,41.5,39,237,1737,7729,0,0,0,0,0.0,40648,0,576,5,1030,1486,83.27799999999998,0.108,396,500,39,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11565,8690,3143,7784,338,736,402,8,19,278,4172,4518,2.76,432900,106875,45.6,44.7,46.5,189,870,6972,31812,0,0,0,0,0.0,18897109,2832882,3166,133,3657,8738,1.116,0.0,97,3135,8,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19805,40937,15268,21722,13990,10829,523,52,541,5581,19775,21162,2.63,170600,42777,32.5,31.0,33.9,742,9046,99226,446932,0,0,0,0,0.0,5965343,705670,16021,892,17903,42135,5.319,0.002,423,13559,1009,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
